Program Type,Program,Name,Borough/Community,Agency,Contact Number,Grade Level / Age Group,Location 1,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Southside Community Mission,Brooklyn,"Southside Community Mission, Inc.",718.782.8181 or 718.387.6052 ,Adults,"280 Marcy Avenue11211
(40.704994493888, -73.95589166068)",11211,40.705055,-73.955919,1,33,533,3060375,3022060034,Williamsburg                                                               
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Safe Space - Family Resource Center (Jamaica),Queens,Safe Space,718.785.9062,All Ages,"90 25 161st Street11432
(40.71311535449, -73.792820999789)",11432,40.705199,-73.799253,12,24,44601,4442231,4097600001,Jamaica                                                                    
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,"Big Brothers/Big Sisters, Inc. (Activity Site)",Jamaica,"Big Brothers/Big Sisters, Inc.",212.994.7742,14-Nov,"89 56 162nd Street11432
(40.71311535449, -73.792820999789)",11432,40.705395,-73.798368,12,24,44601,4208872,4097600074,Jamaica                                                                    
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Southside Community Mission,Brooklyn,"Southside Community Mission, Inc.",718.782.8181 or 718.387.6052 ,ESOL/Civics,"250 Hooper Street11211
(40.705817851705, -73.955664076834)",11211,40.705898,-73.955611,1,33,529,3379706,3022070002,Williamsburg                                                               
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 16 LEONARD DUNKLY SCHOOL,Brooklyn,YMCA of Greater New York/Greenpoint,(718) 389-3700,OST,"157 WILSON STREET11211
(40.706051659904, -73.961449932947)",11211,40.706023,-73.961476,1,33,535,3059906,3021770001,Williamsburg                                                               
After-School Programs,Out of School Time,P.S. 16 LEONARD DUNKLY SCHOOL,Brooklyn,YMCA of Greater New York/Greenpoint,(718) 389-3700,Elementary,"157 WILSON STREET11211
(40.706051659904, -73.961449932947)",11211,40.706023,-73.961476,1,33,535,3059906,3021770001,Williamsburg                                                               
After-School Programs,Beacon,IS 93,Queens,"Greater Ridgewood Youth Council, Inc. ",718.628.8702 ext.12,6 and up,"66 56 Forest Avenue11385
(40.701224891615, -73.88334858437)",11385,40.706041,-73.902584,5,30,589,4083511,4034900001,Ridgewood                                                                  
After-School Programs,Out of School Time,I.S. 93 RIDGEWOOD INTERMEDIATE,Queens,"Greater Ridgewood Youth Council, Inc.",(718) 456-5437,Middle School,"66 56 Forest Avenue11385
(40.701224891615, -73.88334858437)",11385,40.706041,-73.902584,5,30,589,4083511,4034900001,Ridgewood                                                                  
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Intermediate School 93 - Ridgewood Intermediate School,Queens,"Greater Ridgewood Youth Council, Inc.",718.456.5437,High School,"66 56 Forest Avenue11385
(40.701224891615, -73.88334858437)",11385,40.706041,-73.902584,5,30,589,4083511,4034900001,Ridgewood                                                                  
"Jobs & Internships,Youth Employment",Summer Youth Employment ,"Asociaciones Dominicanas, Inc - Vulnerable Youth",Brooklyn,"Asociaciones Dominicanas, Inc - Vulnerable Youth",718-599-2386 ,14 to 24,"202 Union Avenue
ste L&M 11211
(40.706434807769, -73.950331811608)",11211,40.706403,-73.950356,1,34,511,3325853,3030580100,East Williamsburg                                                          
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),"Asociaciones Dominicanas, Inc",Brooklyn,"Asociaciones Dominicanas, Inc",212.247.2929,High School,"202 Union Avenue11211
(40.706434807769, -73.950331811608)",11211,40.706403,-73.950356,1,34,511,3325853,3030580100,East Williamsburg                                                          
After-School Programs,Teen Action Program,Pathways College Preparatory School: A College Board School,Queens,"Sports and Arts In Schools Foundation, Inc.",718.454.5097 ,13 to 21,"109 89 204 Street11412
(40.698127117473, -73.759235198346)",11412,40.70646,-73.753579,12,27,508,4234318,4109440301,Hollis                                                                     
After-School Programs,Out of School Time,I.S. 192 THE RENAISSANCE MIDDLE,Queens,"Sports and Arts In Schools Foundation, Inc.",(646) 418-2038,Middle School,"109 89 204 Street11412
(40.698127117473, -73.759235198346)",11412,40.70646,-73.753579,12,27,508,4234318,4109440301,Hollis                                                                     
"Jobs & Internships,Youth Employment",Summer Youth Employment ,Queens OCFS,Queens,"Henry Street Settlement, Inc. - Queens ",718-557-8861,14 to 24,"168 25 Jamaica Avenue11432
(40.71311535449, -73.792820999789)",11432,40.706582,-73.791811,12,27,460,4209641,4097990001,Jamaica                                                                    
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Community Mediation Services,Queens,Brooklyn Housing & Family Services,(718) 523-6868,High School,"89 64 163rd Street11432
(40.71311535449, -73.792820999789)",11432,40.70664,-73.798033,12,24,44601,4208888,4097610080,Jamaica                                                                    
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 250,Brooklyn,New York Junior Tennis League,(718) 782-2390,OST,"108 Montrose Avenue11206
(40.707092624367, -73.94538480081)",11206,40.707104,-73.945475,1,34,505,3071199,3030600001,East Williamsburg                                                          
After-School Programs,Out of School Time,P.S. 250,Brooklyn,New York Junior Tennis League,(367) 405-6196,Elementary,"108 Montrose Avenue11206
(40.707092624367, -73.94538480081)",11206,40.707104,-73.945475,1,34,505,3071199,3030600001,East Williamsburg                                                          
"Family Support,NDA Programs",Healthy Families,"Polonians Organized to Minister to Our Community, Inc.",Queens,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A CO,(718) 326-9098,,"66 60 Fresh Pond Road11385
(40.701224891615, -73.88334858437)",11385,40.707192,-73.897292,5,30,587,4084940,4035290077,Ridgewood                                                                  
"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,Legal Aid - Juvenile Rights Division,Manhattan,The Legal Aid Society,212.577.3328,20-May,"199 Water Street10038
(40.70708573646, -74.004631693959)",10038,40.70727,-74.004314,1,1,1502,1001162,1000747501,Battery Park City-Lower Manhattan                                          
"Immigration Services,Immigrant Support Services",Legal Assistance Program,The Lower Manhattan Neighborhood Office,Manhattan,The Legal Aid Society,212-577-3292 ,All Ages,"199 Water Street10038
(40.70708573646, -74.004631693959)",10038,40.70727,-74.004314,1,1,1502,1001162,1000747501,Battery Park City-Lower Manhattan                                          
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Queens Gateway to Health and Sciences Secondary School,Queens,SEBCO Father Banome Senior Housing,(212) 630-6980,Middle School,"150 91 87th Road11432
(40.71311535449, -73.792820999789)",11432,40.707527,-73.806412,8,24,236,4207510,4097070048,Briarwood-Jamaica Hills                                                    
After-School Programs,Out of School Time,Health Sciences HS,Queens,Mt. Sinai School of Medicine,(718) 344-8753,High School,"150 91 87th Road11432
(40.71311535449, -73.792820999789)",11432,40.707527,-73.806412,8,24,236,4207510,4097070048,Briarwood-Jamaica Hills                                                    
"NDA Programs,Senior Programs,Older Adult Program",Seniors,International Tower for Seniors,Queens,JHS 142 JOHN PHILIP SOUSA (X142),(800) 624-8474,Seniors,"90 20 170th Street11433
(40.698104881735, -73.787574033914)",11432,40.708578,-73.790579,12,27,460,4209721,4098020041,Jamaica                                                                    
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 86,Queens,"Queens Community House, Inc",(718) 206-0517,Elementary,"87 41 PARSONS BOULEVARD11432
(40.71311535449, -73.792820999789)",11432,40.708898,-73.803938,8,24,448,4438678,4097740001,Briarwood-Jamaica Hills                                                    
"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,Peter Cicchino Youth Project (PCYP),Manhattan,Urban Justice Center,646-602-5633,20-May,"123 William Street10038
(40.709091224585, -74.006906978693)",10038,40.709112,-74.006889,1,1,1502,1079063,1000780004,Battery Park City-Lower Manhattan                                          
After-School Programs,Out of School Time,I.S. 49 WILLIAM GAYNOR  INTERM,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",(718) 387-7697,Middle School,"223 Graham Avenue11206
(40.709988264882, -73.943671327367)",11206,40.709941,-73.943641,1,34,505,3070825,3030250001,East Williamsburg                                                          
After-School Programs,Out of School Time,Green School,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,High School,"223 Graham Avenue11206
(40.709988264882, -73.943671327367)",11206,40.709941,-73.943641,1,34,505,3070825,3030250001,East Williamsburg                                                          
After-School Programs,Out of School Time,J.H.S. 217 ROBERT VAN WYCK SCHOOL,Queens,"Queens Community House, Inc",(718) 262-9234,Middle School,"85 05 144th Street11435
(40.701192649122, -73.809796655791)",11435,40.710024,-73.812508,8,24,232,4208124,4097240173,Briarwood-Jamaica Hills                                                    
After-School Programs,Out of School Time,J.H.S. 217 ROBERT VAN WYCK SCH,Queens,"Police Athletic League, Inc.",(718) 527-0874,High School,"85 05 144th Street11435
(40.701192649122, -73.809796655791)",11435,40.710024,-73.812508,8,24,232,4208124,4097240173,Briarwood-Jamaica Hills                                                    
"Family Support,NDA Programs",Fatherhood Initiative,The New York Society for the Prevention of Cruelty to Children,New York,The New York Society for the Prevention of Cruelty to Children,212.233.5500,16 to 24,"161 William Street10038
(40.709999539835, -74.006016649884)",10038,40.710059,-74.005955,1,1,1501,1001269,1000920005,Battery Park City-Lower Manhattan                                          
"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA TWO BRIDGES U.R.A (SITE 7),Manhattan,YMCA - Chinatown @Two Bridges (URA) Community Center,(212) 385-9352,6 and up,"286 South Street10002
(40.710548126273, -73.986132639816)",10002,40.710478,-73.986571,3,1,201,1003142,1002450001,Lower East Side                                                            
After-School Programs,Out of School Time,Edgies,Manhattan,"Educational Alliance, Inc.",(212) 780-2300,MS/HS,"197 Broadway10002
(40.714215401222, -73.988123475746)",10007,40.710583,-74.009339,1,1,13,1001227,1000800001,Battery Park City-Lower Manhattan                                          
After-School Programs,Out of School Time,P.S. 18 EDWARD BUSH SCHOOL,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,Elementary,"101 MAUJER STREET11206
(40.710632713232, -73.946906170327)",11206,40.710609,-73.946977,1,34,503,3069559,3027870001,East Williamsburg                                                          
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 18 EDWARD BUSH SCHOOL,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,OST,"101 MAUJER STREET11206
(40.710632713232, -73.946906170327)",11206,40.710609,-73.946977,1,34,503,3069559,3027870001,East Williamsburg                                                          
After-School Programs,Out of School Time,P.S. 95 EASTWOOD SCHOOL,Queens,YMCA of Greater New York/Jamaica YMCA,(718) 558-0673,Elementary,"179 01 90th Avenue11432
(40.71311535449, -73.792820999789)",11432,40.710624,-73.783423,12,27,468,4446042,4099140001,Jamaica                                                                    
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 71 FOREST SCHOOL,Queens,"Greater Ridgewood Youth Council, Inc.",(718) 456-5437,OST,"62 85 Forest Avenue11385
(40.701224891615, -73.88334858437)",11385,40.711203,-73.905286,5,30,595,4083519,4034920007,Ridgewood                                                                  
After-School Programs,Out of School Time,P.S. 71 FOREST SCHOOL,Queens,"Greater Ridgewood Youth Council, Inc.",(718) 456-5437,Elementary,"62 85 Forest Avenue11385
(40.701224891615, -73.88334858437)",11385,40.711203,-73.905286,5,30,595,4083519,4034920007,Ridgewood                                                                  
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Murray Bergtraum HS,New York,BCA Sunset Park Asian Senior Center,(212) 748-1225,High School,"411 Pearl Street10001
(40.750259021437, -73.99688630376)",10038,40.711442,-74.000851,1,1,29,1001388,1001130100,Chinatown                                                                  
After-School Programs,Out of School Time,Murry Bergtraum HS,Manhattan,YWCA of the City of New York (Main Branch),(212) 964-9610,High School,"411 Pearl Street10038
(40.711348522879, -74.000800582114)",10038,40.711442,-74.000851,1,1,29,1001388,1001130100,Chinatown                                                                  
"After-School Programs,Summer Program,Summer Camp",Out of School Time,PS 184,Manhattan,"University Settlement Society of New York, Inc",(646) 602-2140,Elementary,"327 CHERRY STREET10002
(40.712174847028, -73.980424100803)",10002,40.711549,-73.986542,3,1,201,1003143,1002450007,Lower East Side                                                            
After-School Programs,Out of School Time,P.S./I.S. 184 SHUANG WEN ACADEMY,Manhattan,Shuang Wen Academy Network,(212) 602-9700,Elem/MS,"327 Cherry Street10002
(40.712174847028, -73.980424100803)",10002,40.711549,-73.986542,3,1,201,1003143,1002450007,Lower East Side                                                            
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Agudath Israel of America Community Services, Inc.",New York,"Agudath Israel of America Community Services, Inc.",(212) 809-5935 x 104,16+,"225 Broadway10007
(40.711843149995, -74.008228982076)",10007,40.71187,-74.008217,1,1,21,1001241,1000880018,SoHo-TriBeCa-Civic Center-Little Italy                                     
After-School Programs,Beacon,Grand Street Campus,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,718.302.5930,6 and up,"850 Grand Street11211
(40.712157465495, -73.939732162787)",11211,40.712184,-73.939722,1,34,485,3325733,3030160001,Bushwick South                                                             
After-School Programs,Out of School Time,HS for Legal Studies,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,High School,"850 Grand Street11211
(40.712157465495, -73.939732162787)",11211,40.712184,-73.939722,1,34,485,3325733,3030160001,Bushwick South                                                             
After-School Programs,Out of School Time,Progress HS,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,High School,"850 Grand Street11211
(40.712157465495, -73.939732162787)",11211,40.712184,-73.939722,1,34,485,3325733,3030160001,Bushwick South                                                             
After-School Programs,Out of School Time,HS of EBT,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,High School,"850 Grand Street11211
(40.712157465495, -73.939732162787)",11211,40.712184,-73.939722,1,34,485,3325733,3030160001,Bushwick South                                                             
"Jobs & Internships,Youth Employment",Summer Youth Employment ,St. Nicholas Neighborhood Preservation Corporation,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,718-599-9224 ,14 to 24,"850 Grand Street11211
(40.712157465495, -73.939732162787)",11211,40.712184,-73.939722,1,34,485,3325733,3030160001,Bushwick South                                                             
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,SHOP Architects,New York,Legal Services NYC-Bronx,(212) 571-1840,Middle School,"11 Park Place10002
(40.716121467931, -73.985831470246)",10007,40.712828,-74.008296,1,1,21,1001399,1001240004,SoHo-TriBeCa-Civic Center-Little Italy                                     
After-School Programs,Teen Action Program,I S 238 SUSAN B ANTHONY (Q238),Queens,"Sports and Arts In Schools Foundation, Inc.",347.417.8161,13 to 21,"88 15 182 Street11423
(40.717222295672, -73.76714149998)",11423,40.713094,-73.780468,12,27,470,4212425,4099190006,Jamaica                                                                    
After-School Programs,Out of School Time,I.S. 238 SUSAN B. ANTHONY SCHOOL,Queens,"Sports and Arts In Schools Foundation, Inc.",(718) 297-9821,Middle School,"88 15 182nd Street11423
(40.717222295672, -73.76714149998)",11423,40.713094,-73.780468,12,27,470,4212425,4099190006,Jamaica                                                                    
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Good Companions Senior center,New York,I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL (Q005),(212) 766-9200,Seniors,"334 Madison Street10002
(40.713290169435, -73.983016878047)",10002,40.713266,-73.983237,3,2,202,1077526,1002600001,Lower East Side                                                            
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 2 MEYER LONDON SCHOOL,Manhattan,Chinese American Planning Council,(212) 587-0912,Elementary,"122 Henry Street10002
(40.713259440893, -73.99128127056)",10002,40.713273,-73.991339,3,1,6,1003248,1002730001,Lower East Side                                                            
"After-School Programs,Summer Program,Summer Camp",Out of School Time,PS 2,Manhattan,Vision Urbana Senior Center,(212) 227-0762,Middle School,"122 Henry Street10002
(40.713259440893, -73.99128127056)",10002,40.713273,-73.991339,3,1,6,1003248,1002730001,Lower East Side                                                            
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Cabrini Immigrant Services (Admin & Activity site),Manhattan,Cabrini Center for Nursing & Rehabilitation,212.791.4590,18+,"139 Henry Street10002
(40.713327031343, -73.990782134708)",10002,40.713339,-73.990755,3,1,6,1003565,1002830016,Lower East Side                                                            
Jobs & Internships,Young Adult Internship Program,Henry Street Settlement,Manhattan,Henry Street Settlement,212.473.1474,16 to 24,"367 Madison Street10002
(40.713502758365, -73.981667789474)",10002,40.713395,-73.982282,3,2,202,1083405,1002670024,Lower East Side                                                            
"After-School Programs,Summer Program,Summer Camp",Out of School Time,MS 56-Corlears,Manhattan,Vision Urbana Senior Center,(212) 227-0762,Middle School,"220 Henry Street10002
(40.713663660512, -73.986511242953)",10002,40.713684,-73.986336,3,1,201,1003223,1002690041,Lower East Side                                                            
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Queens Family Justice Center,Kew Gardens,Sanctuary for Families,212-349-6009 ,All Ages,"126 02 82nd Ave11415
(40.708286075142, -73.828556121568)",11415,40.713732,-73.826122,9,29,216,4458616,4096530001,Kew Gardens                                                                
"Jobs & Internships,Youth Employment",Summer Youth Employment ,"Henry Street Settlement, Inc. - Vulnerable Youth",Manhattan,"Henry Street Settlement, Inc. - Vulnerable Youth",212-254-3100,14 to 24,"265 Henry Street10002
(40.713875617781, -73.984342988978)",10002,40.713857,-73.984532,3,1,202,1079627,1002880078,Lower East Side                                                            
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Queens Jewish Community Council,Forest Hills,New York Legal Assistance Group (NYLAG),212-613-5000,All Ages,"119 45 Union Turnpike11375
(40.72070726303, -73.846284296083)",11375,40.713909,-73.832351,6,29,76902,4312087,4033477501,Forest Hills                                                               
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Henry Street Settlement,New York,Henry Street Settlement,212.766.9200,High School,"301 Henry Street10002
(40.71399949306, -73.983398773047)",10002,40.714054,-73.982797,3,1,202,1003737,1002880021,Lower East Side                                                            
After-School Programs,Out of School Time,Henry Street SettlemntOpt 2 HS,Manhattan,Henry Street Settlement,(212) 254-3100,High School,"301 Henry Street10002
(40.71399949306, -73.983398773047)",10002,40.714054,-73.982797,3,1,202,1003737,1002880021,Lower East Side                                                            
"Jobs & Internships,Youth Employment",Summer Youth Employment ,Helen's House & Youth Center,Manhattan,"Henry Street Settlement, Inc. - Manhattan ",212-254-3100  ,14 to 24,"301 Henry Street10002
(40.71399949306, -73.983398773047)",10002,40.714054,-73.982797,3,1,202,1003737,1002880021,Lower East Side                                                            
After-School Programs,Out of School Time,P.S./I.S. 110 FLORENCE NIGHTIN,Manhattan,Henry Street Settlement,(212) 254-3100,Elementary,"301 Henry Street10002
(40.71399949306, -73.983398773047)",10002,40.714054,-73.982797,3,1,202,1003737,1002880021,Lower East Side                                                            
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Henry Street Settlement's Helen Hall Youth Center,New York,CCCS South Bronx Center,(212) 766-9200,High School,"301 Henry Street10002
(40.71399949306, -73.983398773047)",10002,40.714054,-73.982797,3,1,202,1003737,1002880021,Lower East Side                                                            
After-School Programs,Out of School Time,Philippine Center,Queens,"Filipino American Human Services, Inc.",(718) 883-1295,High School,"185 14 Hillside Avenue11432
(40.71311535449, -73.792820999789)",11432,40.714311,-73.776886,12,27,480,4212817,4099330126,Jamaica                                                                    
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,CONSELYEA PREPARATORY SCHOOL (K577),Brooklyn,Jacobi Medical Center Nurses Residence/ NIDS Young Adult Center,(347) 417-8120,Middle School,"320 MANHATTAN AVENUE11211
(40.714638333324, -73.946073207624)",11211,40.71466,-73.946108,1,34,497,3068728,3027590001,East Williamsburg                                                          
After-School Programs,Out of School Time,P.S. 137 JOHN BERNSTEIN SCHOOL,Manhattan,"University Settlement Society of New York, Inc",(646) 602-2140,Elementary,"293 Broadway10002
(40.714521026129, -73.984277757886)",10007,40.714879,-74.005732,1,1,33,1001649,1001500038,SoHo-TriBeCa-Civic Center-Little Italy                                     
After-School Programs,Out of School Time,Metropolitan Pool,Brooklyn,Brooklyn Center For Urban Environment,(718) 788-8500,Elem/MS,"261 Bedford Avenue11211
(40.715016880185, -73.960712097149)",11211,40.715045,-73.960702,1,34,553,3062457,3023660004,North Side-South Side                                                      
After-School Programs,Out of School Time,City Scholars at Thomas Edison,Queens,The After School Corporation,(646) 943-8766,High School,"165 65 84th Avenue11432
(40.71311535449, -73.792820999789)",11432,40.715389,-73.800369,8,24,452,4211027,4098670002,Briarwood-Jamaica Hills                                                    
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Chinese Consolidated Benevolent Asociation of New York,Manhattan,Northern Manhattan   Improvement Corporation,212-822-8319,All Ages,"62 Mott St10013
(40.716076334714, -73.998158665829)",10013,40.716051,-73.998222,3,1,29,1002403,1002010004,Chinatown                                                                  
"Jobs & Internships,Youth Employment",Summer Youth Employment ,"Chinatown Manpower Project, Inc.",Manhattan,"Chinatown Manpower Project, Inc.",212-571-1690,14 to 24,"70 Mulberry Street
flr 10013
(40.716141909295, -73.999172809241)",10013,40.716092,-73.999203,3,1,29,1066494,1002000001,Chinatown                                                                  
After-School Programs,Out of School Time,School Settlment,Brooklyn,School Settlement,(718) 389-1810,Elementary,"120 Jackson Street11211
(40.716442660976, -73.946563291611)",11211,40.71645,-73.946734,1,34,501,3068417,3027480021,East Williamsburg                                                          
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Chinese American Planning Council/Manhattan,New York,Chinese American Planning Council,212.941.0920,High School,"100 Hester Street10002
(40.71645702482, -73.992862506346)",10002,40.716553,-73.993092,3,1,16,1082489,1003010003,Chinatown                                                                  
After-School Programs,Beacon,IS 131,Manhattan,YMCA Chinatown,212.219.8393,6 and up,"100 Hester Street10002
(40.71645702482, -73.992862506346)",10002,40.716553,-73.993092,3,1,16,1082489,1003010003,Chinatown                                                                  
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 153 MASPETH SCHOOL,Queens,"Greater Ridgewood Youth Council, Inc.",(718) 456-5437,OST,"60 02 60 LANE11378
(40.721453104977, -73.908543500682)",11378,40.716609,-73.903669,5,30,599,4060987,4027320018,Maspeth                                                                    
After-School Programs,Out of School Time,P.S. 153 MASPETH SCHOOL,Queens,"Greater Ridgewood Youth Council, Inc.",(718) 456-5437,Elementary,"60 02 60 LANE11378
(40.721453104977, -73.908543500682)",11378,40.716609,-73.903669,5,30,599,4060987,4027320018,Maspeth                                                                    
After-School Programs,Out of School Time,P.S. 89 P.S. 89,Manhattan,Manhattan Youth Recreation & Resources Center,(212) 766-1104,Middle School,"201 Warren Street10282
(40.716492485594, -74.013270978409)",10282,40.716668,-74.013542,1,1,31703,1085568,1000160220,Battery Park City-Lower Manhattan                                          
After-School Programs,Out of School Time,Center for Alternative,Manhattan,Center for Alternative Sentencing and Employment Services,(212) 553-6650,High School,"346 Broadway10013
(40.716717475394, -74.004137066843)",10013,40.716696,-74.004163,1,1,31,1001835,1001700006,SoHo-TriBeCa-Civic Center-Little Italy                                     
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,High School for Dual Language and Asian Studies,New York,"Brooklyn Housing & Family Services, Inc.",(212) 941-0920,High School,"350 Grand Street10012
(40.725538020863, -73.997896410591)",10002,40.716778,-73.989337,3,1,18,1005283,1004080030,Chinatown                                                                  
After-School Programs,Out of School Time,HS for Dual Languages,Manhattan,Chinese American Planning Council,(212) 941-0920,High School,"350 Grand Street10002
(40.716852373698, -73.989595029629)",10002,40.716778,-73.989337,3,1,18,1005283,1004080030,Chinatown                                                                  
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Chinese American Planning Council,New York,Chinese American Planning Council,(212) 941-0041 x 302,16+,"220 Church Street10013
(40.71698884234, -74.006380099985)",10013,40.71683,-74.006454,1,1,33,1001622,1001480015,SoHo-TriBeCa-Civic Center-Little Italy                                     
"Family Support,NDA Programs",Fatherhood Initiative,The Fathers Center ,New York,Legal Information for Families Today (LIFT),646.613.9633 ext. 202,16 to 24,"350 Broadway10013
(40.716960292342, -74.003921229556)",10013,40.716954,-74.003943,1,1,31,1001838,1001717503,SoHo-TriBeCa-Civic Center-Little Italy                                     
"Family Support,NDA Programs",Healthy Families,Grand Street Settlement,New York,Project Hopitality,(646) 201-4288,,"80 Pitt Street10002
(40.718892797837, -73.982159024877)",10002,40.718328,-73.98245,3,2,2201,1084357,1003380001,Lower East Side                                                            
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Grand Street Settlement,New York,"Jewish Community Council of Greater Coney Island, Inc",(646) 201-4288,Middle School,"80 Pitt Street10002
(40.718892797837, -73.982159024877)",10002,40.718328,-73.98245,3,2,2201,1084357,1003380001,Lower East Side                                                            
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Grand Street Settlement,New York,JHS 227 EDWARD B SHALLOW (K227),(646) 201-4288,Seniors,"80 Pitt Street10002
(40.718892797837, -73.982159024877)",10002,40.718328,-73.98245,3,2,2201,1084357,1003380001,Lower East Side                                                            
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 130 HERNANDO DESOTO SCHOOL,Manhattan,Chinese American Planning Council,(212) 431-8574,Elementary,"143 Baxter Street10013
(40.718613947525, -73.99859121725)",10013,40.718903,-73.998438,2,1,41,1003086,1002360038,SoHo-TriBeCa-Civic Center-Little Italy                                     
"After-School Programs,Jobs & Internships,Youth Employment",Out-of-School Youth Employment (OSY),Henry Street Settlement Workforce Development Center,New York,Henry Street Settlement,212.478.5400 ext. 210,16 to 21,"99 Essex Street10002
(40.7184474156, -73.988301222787)",10002,40.718943,-73.988012,3,1,18,1087565,1004100064,Chinatown                                                                  
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Henry Street Settlement - Workforce Development Center ,Manhattan,"Henry Street Settlement, Inc. ",212.766.9200,ESOL/Civics,"99 Essex Street10002
(40.7184474156, -73.988301222787)",10002,40.718943,-73.988012,3,1,18,1087565,1004100064,Chinatown                                                                  
After-School Programs,Out of School Time,P.S./I.S. 140 THE NATHAN STRAU,Manhattan,"Educational Alliance, Inc.",(646) 214-1069,Elementary,"123 RIDGE STREET10002
(40.719260056989, -73.98306554315)",10002,40.71925,-73.983056,3,1,2201,1004091,1003440001,Lower East Side                                                            
After-School Programs,Teen Action Program,JHS 126 - John Ericsson,Brooklyn,Aspira of New York,212.564.6880 ext.115,13 to 21,"424 Leonard Street11222
(40.719664890228, -73.948575561142)",11222,40.719819,-73.948625,1,33,499,3067788,3027120001,Greenpoint                                                                 
After-School Programs,Beacon,JHS 126,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,718.388.5546,6 and up,"424 Leonard Street11222
(40.719664890228, -73.948575561142)",11222,40.719819,-73.948625,1,33,499,3067788,3027120001,Greenpoint                                                                 
After-School Programs,Out of School Time,J.H.S. 126 JOHN ERICSSON JUNIO,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 388-5585,Middle School,"424 Leonard Street11222
(40.719664890228, -73.948575561142)",11222,40.719819,-73.948625,1,33,499,3067788,3027120001,Greenpoint                                                                 
After-School Programs,Beacon,Marta Valley HS,Manhattan,"Grand Street Settlement, Inc. ",212.505.6338 ext.21,6 and up,"145 Stanton Street10022
(40.758630224006, -73.96809182218)",10002,40.720581,-73.985645,3,1,3001,1004323,1003540080,Chinatown                                                                  
After-School Programs,Teen Action Program,Grand Street Settlement Beacon Center,New York,"Grand Street Settlement, Inc.",212.674.1740,13 to 21,"145 Stanton Street10002
(40.72059519128, -73.985750724901)",10002,40.720581,-73.985645,3,1,3001,1004323,1003540080,Chinatown                                                                  
