Address,BBL,BIN,BoroCD,Borough,CT2010,CouncilDistrict,Items_Accepted,Latitude,Longitude,NTAName,Nonprofit_Organization,Number,Operations_Type,Public_Email,Public_Phone,Street,Unit,Vendor_Name,Website,point,zipcode,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
128-02 14 Ave,4040950016.0,4098486,407,Queens,947,19,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.785194396972656,-73.84001159667969,College Point,false,128-02,Publicly Accessible Donation Bins,Info@MyCountyRecycling.org,800-261-7099,14 Ave,,County Recycling LLC,www.mycountyrecycling.org/contact,POINT (-73.84001200000002 40.785194),11356,14191,22,3,20,67
8913 Ditmas Ave,3079140096.0,3221919,317,Brooklyn,930,45,"Clothing, Shoes",40.6480827331543,-73.91533660888672,Rugby-Remsen Village,false,8913,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Ditmas Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.915338 40.648081),11236,13827,61,2,26,40
1811 Victor St,2040480128.0,2043445,211,Bronx,236,15,"Clothing, Shoes, Coats, Accessories, Beddings And Linens, Towels",40.845340728759766,-73.86730194091797,Van Nest-Morris Park-Westchester Square,true,1811,Nonprofit Organizations/Thrift Stores,JSFOODPANTRY@GMAIL.COM,718-669-0217,Victor St,,"J&S CARING FOOD PANTRY, INC",https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=804&BId=748,POINT (-73.867302 40.84534),10462,11271,59,5,22,32
94-02 111 St,4093959936.0,4197431,409,Queens,118,28,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.691795349121094,-73.83504486083984,Richmond Hill,false,94-02,Publicly Accessible Donation Bins,info@recyclingtech.com,(888) 243-3273,111 St,,American Recycling Technologies Inc.,http://www.americanrecyclingtech.com/,POINT (-73.835047 40.691795),11419,24015,46,3,46,60
1004 Halsey St,3.03408e9,3078721,304,Brooklyn,401,37,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.6864128112793,-73.91429138183594,Bushwick South,false,1004,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Halsey St,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.914293 40.686411),11207,17214,42,2,37,53
195 Court St,3.00384e9,3005714,302,Brooklyn,69,33,They only accept T-shirts with the exception of any made of spandex. Can receive $5 credit for each tee up to $25.,40.68741989135742,-73.99319458007813,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,false,195,Retail Store Takeback Programs,help@marinelayer.com,(917) 909-0860,Court St,,Marine Layer,https://www.marinelayer.com/pages/respun,POINT (-73.99319419999995 40.68742050000003),11201,16865,68,2,38,54
874 Myrtle Ave,3017550080.0,3048641,303,Brooklyn,25901,36,"Clothing, Shoes, Coats",40.69540023803711,-73.94709777832031,Bedford,true,874,Nonprofit Organizations/Thrift Stores,N/A,718-938-4532,Myrtle Ave,,St. Stephen Outreach Community Development Corporation,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=2160&BId=2116,POINT (-73.947095 40.695399),11206,17213,69,2,49,51
277 Stuyvesant Ave,3016560128.0,3045802,303,Brooklyn,295,36,"Clothing, Shoes, Coats",40.685123443603516,-73.93216705322266,Stuyvesant Heights,true,277,Nonprofit Organizations/Thrift Stores,info@bridgestreetbrooklyn.org,(718) 452-3936,Stuyvesant Ave,,Bridge Street Missionary AME Church,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3379&BId=3343,POINT (-73.93217 40.685124),11221,18181,69,2,49,52
168-21 Union Tkpe,4070040064.0,4151767,408,Queens,1241,24,"Clothing, Shoes",40.72230529785156,-73.79959869384766,Pomonok-Flushing Heights-Hillcrest,false,168-21,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Union Tkpe,,Usagain LLC,http://www.usagain.com/,POINT (-73.799599 40.722305),11366,24340,25,3,24,65
326 E 110 St,1016810048.0,1052845,111,Manhattan,180,8,Bedding And Linens,40.792457580566406,-73.93942260742188,East Harlem North,true,326,Nonprofit Organizations/Thrift Stores,info@nycacc.org,1-212-788-4000,E 110 St,,Animal Care Centers of NYC,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3450&BId=3422,POINT (-73.939426 40.792457000000006),10029,12426,7,4,35,14
760 Castle Hill Ave,2036140032.0,2022468,209,Bronx,90,18,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.82225036621094,-73.84831237792969,Soundview-Castle Hill-Clason Point-Harding Park,false,760,Publicly Accessible Donation Bins,Info@MyCountyRecycling.org,800-261-7099,Castle Hill Ave,,County Recycling LLC,www.mycountyrecycling.org/contact,POINT (-73.848316 40.822251),10473,11611,58,5,31,26
760-784 Columbus Ave,0.0,0,107,Manhattan,185,7,"Clothing, Shoes, Linens, Accessories",40.793556213378906,-73.967041015625,Upper West Side,true,760-784,Textile Recycling at Farmers' Markets,info@grownyc.org,212-788-7476,Columbus Ave,,97th StGreenmarket: GrowNYC Clothing & Textile Recycling Collections,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=63&BId=108,POINT (-73.96703800000002 40.793558),10025,12422,20,4,23,15
202 Livingston St,3001647616.0,3392981,302,Brooklyn,37,33,Clothing,40.68960189819336,-73.98631286621094,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,true,202,Nonprofit Organizations/Thrift Stores,NYC@HelpPROM.org,718-625-1438,Livingston St,,Bridge Cleaners (Operation Prom),https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3471&BId=3449,POINT (-73.986314 40.68960100000001),11201,16865,68,2,38,54
82-10 Queens Blvd,4024750080.0,4437425,404,Queens,479,25,"Clothing, Shoes, Coats",40.73694610595703,-73.88116455078125,Elmhurst-Maspeth,true,82-10,Nonprofit Organizations/Thrift Stores,N/A,718-424-0122,Queens Blvd,,New Life Community Development Corporation,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3406&BId=3370,POINT (-73.881164 40.736946),11373,14784,66,3,5,68
3352 Olinville Ave,2.04624e9,2056898,212,Bronx,374,12,"Clothing, Shoes",40.87460708618164,-73.86791229248047,Williamsbridge-Olinville,false,3352,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Olinville Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.86791 40.874607),10467,11605,29,5,2,30
1086 Brooklyn Ave,3049060096.0,3327789,317,Brooklyn,856,45,"Clothing, Shoes",40.64731979370117,-73.94378662109375,East Flatbush-Farragut,false,1086,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Brooklyn Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.943789 40.647319),11203,16866,61,2,26,40
78-08 51 Ave,4024699904.0,4057001,404,Queens,479,25,"Clothing, Shoes",40.73704147338867,-73.88505554199219,Elmhurst-Maspeth,false,78-08,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,51 Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.885057 40.73704300000001),11373,14784,66,3,5,68
1810 Randall Ave,2035220096.0,2021426,209,Bronx,20,18,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.81693649291992,-73.86254119873047,Soundview-Castle Hill-Clason Point-Harding Park,false,1810,Publicly Accessible Donation Bins,info@usagain.com,561-602-5331,Randall Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.862545 40.816936),10473,11611,58,5,31,26
286 3 Ave,1008780032.0,1018022,106,Manhattan,68,2,"Clothing, Shoes, Coats, Accessories",40.738468170166016,-73.983642578125,Gramercy,true,286,Nonprofit Organizations/Thrift Stores,vintagethriftnyc@gmail.com,212-871-0777,3 Ave,,Vintage Thrift Shop Corp,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3663&BId=3653,POINT (-73.983646 40.73847),10010,12073,71,4,50,7
306 Columbus Ave,1011467520.0,1030111,107,Manhattan,161,6,"Clothing, Shoes, Coats, Accessories",40.77915954589844,-73.97779846191406,Upper West Side,true,306,Nonprofit Organizations/Thrift Stores,info@housingworks.org,347-473-7400,Columbus Ave,,Housing Works,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=66&BId=125,POINT (-73.977796 40.77916),10023,12420,20,4,19,12
6423 Ft Hamilton Pkwy,3057430016.0,3141927,310,Brooklyn,212,38,"Clothing, Shoes, Coats, Towels",40.630531311035156,-74.0084228515625,Dyker Heights,true,6423,Publicly Accessible Donation Bins,N/A,866-931-0232,Ft Hamilton Pkwy,,Carecycle Inc,carecyclecares.com/,POINT (-74.00842 40.630533),11219,17621,10,2,7,41
39 W 34 St,1.00836e9,1083639,105,Manhattan,76,4,"They accept any kind of clothing, fabrics, household linens, footwear, accessories, and jewelry.",40.74965286254883,-73.98658752441406,Midtown-Midtown South,false,39,Retail Store Takeback Programs,N/A,(212) 868-6551,W 34 St,,Zara,https://www.zara.com/us/en/sustainability-collection-program-l1452.html,POINT (-73.986585 40.749653100000046),10001,11722,11,4,51,8
29 Belmont Ave,3035229952.0,3081095,316,Brooklyn,906,41,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.66880416870117,-73.9093017578125,Brownsville,false,29,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Belmont Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.909298 40.668805),11212,17614,55,2,17,46
306 W 37 St,1.0076e9,1013596,104,Manhattan,111,3,"Clothing, Shoes, Bedding",40.75413131713867,-73.99278259277344,Hudson Yards-Chelsea-Flatiron-Union Square,true,306,Nonprofit Organizations/Thrift Stores,info@goodplusfoundation.org,212-736-1777,W 37 St,8th Floor,Good+ Foundation,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=48&BId=91,POINT (-73.992782 40.754131),10018,12080,12,4,10,8
103 W25 St,1008010048.0,1085978,104,Manhattan,91,3,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs, Other",40.74443435668945,-73.99223327636719,Hudson Yards-Chelsea-Flatiron-Union Square,true,103,Nonprofit Organizations/Thrift Stores,info@goodwillnynj.org,718-728-5400,W25 St,,Goodwill Industries of Greater New York & Northern New Jersey,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=10&BId=14,POINT (-73.992235 40.744434),10001,11722,12,4,10,7
2220 Boston Rd,2043389952.0,2049736,211,Bronx,33201,13,"Clothing, Shoes",40.85800552368164,-73.86786651611328,Bronxdale,false,2220,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Boston Rd,,Usagain LLC,http://www.usagain.com/,POINT (-73.867864 40.858005000000006),10467,11605,59,5,12,32
132-03 Jamaica Ave,4092839936.0,4194033,409,Queens,14202,29,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.70240783691406,-73.82017517089844,Richmond Hill,false,132-03,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Jamaica Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.820173 40.702409),11418,24014,46,3,28,60
80 Burgher Ave,0.0,0,502,Staten Island,9602,50,"Clothing, Shoes, Accessories",40.593936920166016,-74.09496307373047,Old Town-Dongan Hills-South Beach,false,80,Publicly Accessible Donation Bins,�support@communityrecycling.biz,800-336-0141,Burgher Ave,,Community Recycling LLC,https://www.communityrecycling.biz/,POINT (-74.094964 40.593936),10304,10691,30,1,14,76
236-09 Braddock Ave,4.07984e9,4167431,413,Queens,1621,23,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.7275276184082,-73.73102569580078,Bellerose,false,236-09,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Braddock Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.731025 40.727526),11426,24335,63,3,16,63
41 W 124 St,1017220032.0,1053455,110,Manhattan,200,9,"Clothing, Shoes, Coats",40.806610107421875,-73.94417572021484,Central Harlem South,true,41,Nonprofit Organizations/Thrift Stores,N/A,(212) 534-5715,W 124 St,,Antioch Outreach Ministries,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=2006&BId=1963,POINT (-73.944179 40.80661),10027,12424,18,4,36,18
4008 Corporal Kennedy St,4062160128.0,4137260,411,Queens,1129,19,"Accessories, Linens",40.76287841796875,-73.77587127685547,Bayside-Bayside Hills,true,4008,Nonprofit Organizations/Thrift Stores,staff@theworthypause.org,718-279-8191,Corporal Kennedy St,,The Worthy Pause Thrift & Gift Shop,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=557&BId=527,POINT (-73.775871 40.762879),11361,14196,26,3,20,69
8412 Flatlands Ave,3080209920.0,3225078,318,Brooklyn,956,46,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.637428283691406,-73.90978240966797,Canarsie,false,8412,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Flatlands Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.909785 40.637428),11236,13827,5,2,8,42
168 Ave B,1.00404e9,1005139,103,Manhattan,34,2,"Clothing, Shoes, Accessories, Coats, Bedding And Linens",40.727264404296875,-73.9798583984375,East Village,true,168,Nonprofit Organizations/Thrift Stores,info@churchofgooddeeds.org,917-325-4548,Ave B,,Church of Good Deeds,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3610&BId=3627,POINT (-73.979858 40.727263),10009,11729,70,4,50,5
1266 3 Ave,1014070016.0,1085156,108,Manhattan,128,4,The nonprofit Free the Girls accepts gently-used bras at this store location.,40.77045440673828,-73.96037292480469,Upper East Side-Carnegie Hill,true,1266,Retail Store Takeback Programs,uppereastside@journelle.com,917 997 1816,3 Ave,,Journelle (Upper East Side),https://freethegirls.org/,POINT (-73.96036959999998 40.77045350000003),10021,12083,23,4,51,11
1102 Myrtle Ave,3015859968.0,3042895,303,Brooklyn,287,36,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.69663619995117,-73.9362564086914,Stuyvesant Heights,false,1102,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Myrtle Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.936258 40.696638),11206,17213,69,2,49,52
14-79 Beach Channel Dr,4156499968.0,4587857,414,Queens,103201,31,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.6098747253418,-73.75386810302734,Far Rockaway-Bayswater,false,14-79,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Beach Channel Dr,,Helpsy,https://www.helpsy.co/,POINT (-73.753869 40.609873),11691,20529,51,3,47,59
250 Empire Blvd,3013139968.0,3034763,309,Brooklyn,327,40,"Clothing, Shoes, Coats, Other",40.663429260253906,-73.95419311523438,Prospect Lefferts Gardens-Wingate,false,250,Publicly Accessible Donation Bins,N/A,914-573-2266,Empire Blvd,,Standard Recycling Corp,N/A,POINT (-73.95419 40.663429),11225,13509,17,2,11,44
2383 2 Ave,1017870080.0,1054628,111,Manhattan,194,8,"Clothing, Shoes, Bedding And Linens, Coats, Accessories, Rugs, Towels, Fabric",40.794063568115234,-73.92716217041016,East Harlem North,true,2383,Nonprofit Organizations/Thrift Stores,info@unidossisepuede.org,646-321-5045,2 Ave,,Unidos Si Se Puede,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3447&BId=3419,POINT (-73.927164 40.794065),10035,13093,7,4,35,16
741 Glenmore Ave,3039869952.0,3088694,305,Brooklyn,1166,37,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.675472259521484,-73.88285064697266,East New York,false,741,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Glenmore Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.882852 40.675473),11208,17215,45,2,37,47
2845 Briggs Ave,2033020032.0,2017109,207,Bronx,40702,15,"Clothing, Shoes, Coats, Accessories",40.869354248046875,-73.88899230957031,Bedford Park-Fordham North,true,2845,Nonprofit Organizations/Thrift Stores,N/A,718-733-9026,Briggs Ave,,Our Lady of Refuge Thrift Shop,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=692&BId=636,POINT (-73.888989 40.869353),10458,10936,24,5,22,34
47-24 30 Ave,4007290112.0,4013384,401,Queens,151,22,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.76083755493164,-73.9087905883789,Astoria,false,47-24,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,30 Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.908787 40.760837),11103,16860,39,3,4,72
5824 Church Ave,3047059968.0,3327609,317,Brooklyn,936,45,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.65230178833008,-73.92229461669922,Rugby-Remsen Village,false,5824,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Church Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.922296 40.6523),11203,16866,61,2,26,40
75-14 Jamaica Ave,4089040128.0,4183032,409,Queens,4,30,"Clothing, Shoes",40.69136428833008,-73.8658676147461,Woodhaven,false,75-14,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Jamaica Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.865866 40.691364),11421,24017,46,3,34,60
2064 Mill Ave,3084039936.0,3236847,318,Brooklyn,686,46,"Clothing, Shoes, Coats, Towels",40.61540222167969,-73.91435241699219,Georgetown-Marine Park-Bergen Beach-Mill Basin,true,2064,Publicly Accessible Donation Bins,N/A,866-931-0232,Mill Ave,,Carecycle Inc,carecyclecares.com/,POINT (-73.914351 40.615402),11234,13825,5,2,8,38
700 Post Rd,5002270208.0,5006176,501,Staten Island,141,49,"Clothing, Shoes",40.631431579589844,-74.12507629394531,West New Brighton-New Brighton-St. George,true,700,Publicly Accessible Donation Bins,info@planetaid.org,973-882-7956,Post Rd,,Planet Aid,http://www.planetaid.org/,POINT (-74.125074 40.631432),10310,10697,4,1,13,74
286 Watchague Rd,5004669952.0,5012589,501,Staten Island,18901,50,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.616024017333984,-74.13880920410156,Westerleigh,false,286,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Watchague Rd,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-74.138811 40.616024),10314,10700,4,1,14,75
381 Mother Gaston Blvd,3037260032.0,3083889,316,Brooklyn,908,41,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.669681549072266,-73.906494140625,Brownsville,false,381,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Mother Gaston Blvd,,Helpsy,https://www.helpsy.co/,POINT (-73.906496 40.669681),11212,17614,55,2,17,46
1591 Metropolitan Ave,2039447552.0,2096768,209,Bronx,21001,18,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.840232849121094,-73.85729217529297,Parkchester,false,1591,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Metropolitan Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.857289 40.840231),10462,11271,58,5,31,26
2172 Forest Ave,5016849920.0,5107230,501,Staten Island,30302,49,"Clothing, Shoes",40.626094818115234,-74.16200256347656,Mariner's Harbor-Arlington-Port Ivory-Graniteville,false,2172,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Forest Ave,,Usagain LLC,http://www.usagain.com/,POINT (-74.162 40.626093000000004),10303,10371,4,1,13,75
253 E Burnside Ave,2031560064.0,2114502,205,Bronx,381,15,"Clothing, Shoes",40.851959228515625,-73.90241241455078,Mount Hope,false,253,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,E Burnside Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.902414 40.851961),10457,10935,6,5,22,29
460 Quincy Ave,2055779968.0,2080551,210,Bronx,144,13,"Clothing, Shoes",40.821292877197266,-73.82147979736328,Schuylerville-Throgs Neck-Edgewater Park,false,460,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Quincy Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.821482 40.821293),10465,11274,43,5,12,28
32 Sands St,5004899840.0,5113073,501,Staten Island,21,49,"Clothing, Shoes, Bedding And Linens, Coats, Accessories",40.62916946411133,-74.07561492919922,Stapleton-Rosebank,true,32,Nonprofit Organizations/Thrift Stores,unitedchurchofpraiseintmin@gmail.com,718-314-8779,Sands St,,"United Church of Praise International Ministries, Inc",https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=2212&BId=2168,POINT (-74.075618 40.629168),10304,10691,4,1,13,74
6822 3 Ave,3058620160.0,3145151,310,Brooklyn,68,43,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs",40.63618469238281,-74.02605438232422,Bay Ridge,true,6822,Nonprofit Organizations/Thrift Stores,Donations@salvationarmyusa.org,718-833-6894,3 Ave,,The Salvation Army 3rd Ave,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=2227&BId=2183,POINT (-74.026053 40.63618400000001),11220,18180,10,2,44,41
157 E 23 St,1008790016.0,1018046,106,Manhattan,68,2,"Clothing, Shoes, Coats, Accessories",40.73918533325195,-73.98355102539063,Gramercy,true,157,Nonprofit Organizations/Thrift Stores,info@housingworks.org,347-473-7400,E 23 St,,Housing Works,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=66&BId=123,POINT (-73.98355 40.739186),10010,12073,71,4,50,7
446 W 36 St,1007330048.0,1012876,104,Manhattan,111,3,"Clothing, Shoes, Coats, Bedding And Linens, Accessories",40.7553596496582,-73.99748992919922,Hudson Yards-Chelsea-Flatiron-Union Square,true,446,Nonprofit Organizations/Thrift Stores,mccnycharities@mccny.org,212-629-7400,W 36 St,,MCCNY Charities,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3512&BId=3491,POINT (-73.997488 40.755358),10018,12080,12,4,10,6
571 Coney Island Ave,3051409920.0,3118156,314,Brooklyn,1522,40,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.643333435058594,-73.969482421875,Flatbush,false,571,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Coney Island Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.969481 40.643334),11218,17620,60,2,11,43
133-12 Liberty Ave,4095869952.0,4204901,410,Queens,15801,28,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.69095230102539,-73.81289672851563,South Ozone Park,false,133-12,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Liberty Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.812893 40.690953),11419,24015,62,3,46,64
420 W 145 St,1020500032.0,1060948,109,Manhattan,227,7,"Clothing, Shoes, Coats",40.824317932128906,-73.94603729248047,Hamilton Heights,true,420,Nonprofit Organizations/Thrift Stores,contactcabc@conventchurch.org,212-234-6767,W 145 St,,Convent Ave Baptist Church,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=2012&BId=1969,POINT (-73.946039 40.824318),10031,12428,37,4,23,19
184-17 Hillside Ave,4099539968.0,4213295,408,Queens,472,24,"Clothing, Shoes",40.71439743041992,-73.77745819091797,Jamaica Estates-Holliswood,false,184-17,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Hillside Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.777456 40.714396),11432,24340,25,3,24,65
3123 Atlantic Ave,3039590144.0,3088206,305,Brooklyn,1174,37,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.67958068847656,-73.88006591796875,Cypress Hills-City Line,false,3123,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Atlantic Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.880067 40.679582),11208,17215,45,2,37,47
8407 Flatlands Ave,3080049920.0,3389028,318,Brooklyn,958,46,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.63785934448242,-73.91008758544922,Canarsie,false,8407,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Flatlands Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.910087 40.637859),11236,13827,5,2,8,42
375 Manor Rd,5003389952.0,5009228,501,Staten Island,147,50,"Clothing, Shoes",40.61848068237305,-74.12323760986328,Westerleigh,false,375,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Manor Rd,,Usagain LLC,http://www.usagain.com/,POINT (-74.123239 40.618482),10314,10700,4,1,14,74
170 Broad St,5005450240.0,5014175,501,Staten Island,29,49,"Clothing, Shoes",40.62398147583008,-74.08027648925781,Stapleton-Rosebank,true,170,Publicly Accessible Donation Bins,info@planetaid.org,973-882-7956,Broad St,,Planet Aid,http://www.planetaid.org/,POINT (-74.08028 40.623982),10304,10691,4,1,13,74
1267 Flatbush Ave,3052100096.0,3120336,314,Brooklyn,790,45,"Clothing, Shoes, Coats, Other",40.63951110839844,-73.9544677734375,Erasmus,false,1267,Publicly Accessible Donation Bins,N/A,914-573-2266,Flatbush Ave,,Standard Recycling Corp,N/A,POINT (-73.954466 40.639513),11226,13510,60,2,26,43
2588 Steinway St,4006540032.0,4010300,401,Queens,143,22,"Clothing, Shoes, Coats, Accessories",40.76594543457031,-73.91365814208984,Astoria,false,2588,Organizations/Thrift Stores,N/A,718-204-0310,Steinway St,,Steinway Thrift Shop,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=787&BId=731,POINT (-73.913657 40.765946),11103,16860,39,3,4,72
627 Broadway,1005230016.0,1008237,102,Manhattan,5501,1,"Bedding - sheets & blankets. All brands in clean, dry condition accepted. Please place sheets in a sealed plastic bag. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/",40.7261848449707,-73.99650573730469,West Village,false,627,Retail Store Takeback Programs,support@casper.com,(646) 880-3033,Broadway,,Casper Sleep Shop,https://casper.com/,POINT (-73.996509 40.72618310000008),10012,12075,57,4,32,3
475 Atlantic Ave,3001789952.0,3000767,302,Brooklyn,39,33,"Clothing, Shoes, Coats, Accessories",40.68612289428711,-73.98201751708984,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,true,475,Nonprofit Organizations/Thrift Stores,info@outofthecloset.org,718-637-2955,Atlantic Ave,,Out of the Closet,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=696&BId=641,POINT (-73.982016 40.686124),11217,17619,68,2,38,54
1127 Richmond Terrace,5000750080.0,5001856,501,Staten Island,97,49,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.64533233642578,-74.10855865478516,West New Brighton-New Brighton-St. George,false,1127,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Richmond Terrace,,Helpsy,https://www.helpsy.co/,POINT (-74.108558 40.645334),10310,10697,4,1,13,74
1740 Atlantic Ave,3013360128.0,3035554,308,Brooklyn,309,36,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.67715072631836,-73.93274688720703,Crown Heights North,false,1740,Publicly Accessible Donation Bins,info@usagain.com,718-773-7414,Atlantic Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.932744 40.67715),11213,17615,16,2,49,49
Bell Blvd And Horace Harding Expy,4076050176.0,4000000,411,Queens,1367,23,"Clothing, Shoes, Coats",40.74723434448242,-73.76140594482422,Oakland Gardens,false,Bell,Publicly Accessible Donation Bins,N/A,631-225-5246,Blvd And Horace Harding Expy,,H&M Leasing Corp,https://www.handmleasing.org/,POINT (-73.761404 40.747234),11364,14506,26,3,16,69
